Word, Frequency, Frequency(%)
refused,13,0.01
promised,13,0.01
serve,13,0.01
respected,13,0.01
keeping,13,0.01
gates,13,0.01
setting,13,0.01
investigator,13,0.01
downstairs,13,0.01
terms,13,0.01
witnesses,13,0.01
tore,13,0.01
girls,13,0.01
loop,13,0.01
works,13,0.01
behavior,13,0.01
alarm,13,0.01
sky,13,0.01
hot,13,0.01
slipped,13,0.01
easily,13,0.01
path,13,0.01
buried,13,0.01
hotly,13,0.01
lower,13,0.01
ghosts,13,0.01
apart,13,0.01
solely,13,0.01
mechanically,13,0.01
unto,13,0.01
stands,13,0.01
losing,13,0.01
bright,13,0.01
starting,13,0.01
eleven,13,0.01
breathing,13,0.01
breast,13,0.01
particularly,13,0.01
vision,13,0.01
till,13,0.01
horns,13,0.01
bet,13,0.01
excitement,13,0.01
grown,13,0.01
stirred,13,0.01
add,13,0.01
gradually,13,0.01
ugly,13,0.01
dignity,13,0.01
mixed,13,0.01
absurd,13,0.01
base,13,0.01
experience,13,0.01
bow,13,0.01
ma,13,0.01
inner,13,0.01
worked,13,0.01
hung,13,0.01
affairs,13,0.01
wood,13,0.01
thick,13,0.01
vodka,13,0.01
supposed,13,0.01
farther,13,0.01
abruptly,13,0.01
gentlemen,13,0.01
desire,13,0.01
hideous,13,0.01
early,13,0.01
excellent,13,0.01
development,13,0.01
nine,13,0.01
greatest,13,0.01
wonderful,13,0.01
influence,13,0.01
dust,13,0.01
mockery,13,0.01
hurriedly,13,0.01
dying,13,0.01
owing,12,0.01
within,12,0.01
spitefully,12,0.01
counted,12,0.01
interests,12,0.01
orthodox,12,0.01
grew,12,0.01
touch,12,0.01
impatiently,12,0.01
blushed,12,0.01
interesting,12,0.01
lines,12,0.01
original,12,0.01
distinctly,12,0.01
quarter,12,0.01
whispering,12,0.01
cheerful,12,0.01
deeply,12,0.01
fancied,12,0.01
magnanimous,12,0.01
ourselves,12,0.01
touched,12,0.01
playing,12,0.01
waistcoat,12,0.01
struggle,12,0.01
avoid,12,0.01
drawn,12,0.01
highest,12,0.01
triumph,12,0.01
swore,12,0.01
hid,12,0.01
higher,12,0.01
anger,12,0.01
dangerous,12,0.01
hiding,12,0.01
suspicious,12,0.01
badly,12,0.01
mitrei,12,0.01
support,12,0.01
darkness,12,0.01
noise,12,0.01
conclusion,12,0.01
blame,12,0.01
concern,12,0.01
impatience,12,0.01
magazine,12,0.01
neither,12,0.01
madness,12,0.01
nerves,12,0.01
growing,12,0.01
wrung,12,0.01
decision,12,0.01
horses,12,0.01
eternal,12,0.01
double,12,0.01
decent,12,0.01
trust,12,0.01
mikolai,12,0.01
object,12,0.01
century,12,0.01
guests,12,0.01
anxious,12,0.01
report,12,0.01
returned,12,0.01
insolent,12,0.01
kiss,12,0.01
expressed,12,0.01
flung,12,0.01
restrain,12,0.01
knife,12,0.01
morbid,12,0.01
comfort,12,0.01
expecting,12,0.01
fighting,12,0.01
palace,12,0.01
waved,12,0.01
upset,12,0.01
moscow,12,0.01
fight,12,0.01
paces,12,0.01
mrs,12,0.01
pashenka,12,0.01
arranged,12,0.01
names,12,0.01
low,12,0.01
realize,12,0.01
cries,12,0.01
examining,12,0.01
bound,12,0.01
sly,12,0.01
vas,12,0.01
thoroughly,12,0.01
novels,11,0.00
ivan,11,0.00
stuck,11,0.00
uttered,11,0.00
wooden,11,0.00
sheet,11,0.00
pause,11,0.00
trousers,11,0.00
truly,11,0.00
crossing,11,0.00
refers,11,0.00
newspapers,11,0.00
embraced,11,0.00
essentially,11,0.00
estate,11,0.00
promise,11,0.00
considering,11,0.00
remark,11,0.00
stranger,11,0.00
utter,11,0.00
christ,11,0.00
manner,11,0.00
experienced,11,0.00
sacrifice,11,0.00
proper,11,0.00
wildly,11,0.00
vanity,11,0.00
thrust,11,0.00
despite,11,0.00
supply,11,0.00
throughout,11,0.00
fashion,11,0.00
approaching,11,0.00
dared,11,0.00
explaining,11,0.00
tied,11,0.00
letting,11,0.00
translation,11,0.00
commune,11,0.00
saved,11,0.00
save,11,0.00
train,11,0.00
mocking,11,0.00
colored,11,0.00
fallen,11,0.00
foolish,11,0.00
peasants,11,0.00
corners,11,0.00
vain,11,0.00
shoes,11,0.00
dance,11,0.00
proof,11,0.00
dawn,11,0.00
closer,11,0.00
drove,11,0.00
settled,11,0.00
justice,11,0.00
ridiculous,11,0.00
recognize,11,0.00
principle,11,0.00
hate,11,0.00
staying,11,0.00
uncle,11,0.00
spinning,11,0.00
weakness,11,0.00
needs,11,0.00
parted,11,0.00
spirit,11,0.00
direct,11,0.00
hah,11,0.00
elbow,11,0.00
breaking,11,0.00
reach,11,0.00
servant,11,0.00
count,11,0.00
hatred,11,0.00
splendid,11,0.00
hearing,11,0.00
process,11,0.00
announced,11,0.00
ludwigovna,11,0.00
advice,11,0.00
slept,11,0.00
thou,11,0.00
believed,11,0.00
arrangements,11,0.00
doors,11,0.00
bother,11,0.00
p,11,0.00
arrest,11,0.00
color,11,0.00
witness,11,0.00
image,11,0.00
exaggerated,11,0.00
ringing,11,0.00
heat,11,0.00
broad,11,0.00
partition,11,0.00
guess,11,0.00
couple,11,0.00
recovered,11,0.00
keys,11,0.00
bottle,11,0.00
guest,10,0.00
huge,10,0.00
visited,10,0.00
private,10,0.00
danger,10,0.00
conceal,10,0.00
throwing,10,0.00
happening,10,0.00
resolutely,10,0.00
curse,10,0.00
taught,10,0.00
psychological,10,0.00
preparing,10,0.00
eating,10,0.00
loose,10,0.00
traces,10,0.00
remarkably,10,0.00
pressing,10,0.00
commit,10,0.00
responded,10,0.00
horrible,10,0.00
enormous,10,0.00
proved,10,0.00
ease,10,0.00
guffawed,10,0.00
apartments,10,0.00
coffin,10,0.00
nights,10,0.00
lately,10,0.00
pretending,10,0.00
cruel,10,0.00
hoping,10,0.00
faint,10,0.00
abroad,10,0.00
landing,10,0.00
mug,10,0.00
damp,10,0.00
sweat,10,0.00
lippewechsel,10,0.00
sock,10,0.00
questioning,10,0.00
painter,10,0.00
soldier,10,0.00
chairs,10,0.00
solid,10,0.00
box,10,0.00
washing,10,0.00
boundless,10,0.00
worthless,10,0.00
born,10,0.00
workman,10,0.00
lip,10,0.00
likes,10,0.00
evidently,10,0.00
blond,10,0.00
recalling,10,0.00
distance,10,0.00
accident,10,0.00
unconscious,10,0.00
quarrel,10,0.00
zakharych,10,0.00
agitated,10,0.00
points,10,0.00
forgetting,10,0.00
offense,10,0.00
seconds,10,0.00
catching,10,0.00
shown,10,0.00
desperate,10,0.00
calculation,10,0.00
cares,10,0.00
peering,10,0.00
shoot,10,0.00
peculiar,10,0.00
gesture,10,0.00
buy,10,0.00
sincere,10,0.00
pestryakov,10,0.00
paused,10,0.00
worried,10,0.00
published,10,0.00
category,10,0.00
passion,10,0.00
difficulty,10,0.00
exhausted,10,0.00
matters,10,0.00
exclamations,10,0.00
using,10,0.00
institute,10,0.00
brothers,10,0.00
watched,10,0.00
deny,10,0.00
bride,10,0.00
workmen,10,0.00
possibility,10,0.00
fault,10,0.00
iron,10,0.00
consequently,10,0.00
drag,10,0.00
drawers,10,0.00
wit,10,0.00
beauty,10,0.00
positively,10,0.00
wear,10,0.00
beaten,10,0.00
military,10,0.00
wishing,10,0.00
fast,10,0.00
nowadays,10,0.00
connection,10,0.00
trial,10,0.00
environment,10,0.00
cleanliness,10,0.00
greedily,10,0.00
barrel,10,0.00
hungry,10,0.00
poured,10,0.00
clever,10,0.00
kapit,10,0.00
hide,10,0.00
flee,10,0.00
nose,10,0.00
occasionally,10,0.00
grabbed,10,0.00
seat,10,0.00
imagination,10,0.00
declared,10,0.00
polya,10,0.00
leads,10,0.00
favor,10,0.00
mistrust,9,0.00
correct,9,0.00
mostly,9,0.00
lowered,9,0.00
quarreled,9,0.00
radical,9,0.00
convict,9,0.00
remarkable,9,0.00
excellency,9,0.00
monster,9,0.00
kissing,9,0.00
agent,9,0.00
america,9,0.00
loves,9,0.00
expect,9,0.00
amazed,9,0.00
appear,9,0.00
examined,9,0.00
rank,9,0.00
constant,9,0.00
movement,9,0.00
facing,9,0.00
agreed,9,0.00
trash,9,0.00
appetite,9,0.00
worthy,9,0.00
market,9,0.00
row,9,0.00
explanations,9,0.00
mare,9,0.00
heaven,9,0.00
upper,9,0.00
victim,9,0.00
measure,9,0.00
magnificent,9,0.00
escaped,9,0.00
remind,9,0.00
annoyed,9,0.00
providence,9,0.00
creature,9,0.00
jumping,9,0.00
unusual,9,0.00
haughtily,9,0.00
heavily,9,0.00
recovery,9,0.00
contributed,9,0.00
province,9,0.00
extreme,9,0.00
mirror,9,0.00
torments,9,0.00
reluctantly,9,0.00
useless,9,0.00
connections,9,0.00
madman,9,0.00
although,9,0.00
mere,9,0.00
acquaintances,9,0.00
afanasy,9,0.00
r,9,0.00
repeat,9,0.00
handle,9,0.00
dearie,9,0.00
party,9,0.00
dreamed,9,0.00
ceased,9,0.00
fater,9,0.00
insulted,9,0.00
string,9,0.00
local,9,0.00
phrases,9,0.00
lesson,9,0.00
224,9,0.00
schiller,9,0.00
granted,9,0.00
directions,9,0.00
deceased,9,0.00
pondering,9,0.00
strained,9,0.00
drive,9,0.00
drunkard,9,0.00
wedding,9,0.00
writer,9,0.00
noted,9,0.00
building,9,0.00
salary,9,0.00
driving,9,0.00
driven,9,0.00
walls,9,0.00
gazed,9,0.00
greater,9,0.00
greatcoat,9,0.00
class,9,0.00
stupidity,9,0.00
irritation,9,0.00
nowhere,9,0.00
discovered,9,0.00
chernyshevsky,9,0.00
seek,9,0.00
st,9,0.00
opening,9,0.00
ordered,9,0.00
spots,9,0.00
blow,9,0.00
paint,9,0.00
bitterly,9,0.00
owe,9,0.00
owner,9,0.00
bought,9,0.00
sought,9,0.00
sentence,9,0.00
warn,9,0.00
bottom,9,0.00
bill,9,0.00
papers,9,0.00
breathless,9,0.00
occasions,9,0.00
polenka,9,0.00
pole,9,0.00
serving,9,0.00
feather,9,0.00
immediate,9,0.00
salt,9,0.00
painters,9,0.00
learn,9,0.00
literally,9,0.00
lit,9,0.00
gotten,9,0.00
deeds,9,0.00
distracted,9,0.00
thief,9,0.00
role,9,0.00
false,9,0.00
attempt,9,0.00
sidelong,9,0.00
guard,9,0.00
shivering,9,0.00
rising,9,0.00
collapsed,9,0.00
permission,9,0.00
rise,9,0.00
abandoning,9,0.00
abashed,9,0.00
crystal,9,0.00
shook,9,0.00
lapsed,9,0.00
elbows,9,0.00
pen,9,0.00
response,9,0.00
embracing,9,0.00
produced,9,0.00
insistently,9,0.00
namely,9,0.00
comical,9,0.00
destitution,9,0.00
retired,9,0.00
crowded,9,0.00
guilt,9,0.00
army,9,0.00
resting,9,0.00
precious,9,0.00
supposedly,9,0.00
fringe,9,0.00
property,9,0.00
burden,9,0.00
dryly,9,0.00
burned,9,0.00
shut,9,0.00
siberia,9,0.00
fifth,9,0.00
ardently,9,0.00
sweet,9,0.00
babble,9,0.00
tearing,9,0.00
precise,9,0.00
taunting,9,0.00
presented,9,0.00
genius,9,0.00
taverns,9,0.00
izler,9,0.00
murmured,9,0.00
grinning,9,0.00
determination,9,0.00
awake,9,0.00
murdered,9,0.00
friendly,9,0.00
fery,8,0.00
perfect,8,0.00
meek,8,0.00
worriedly,8,0.00
filipp,8,0.00
discourse,8,0.00
disgrace,8,0.00
accompanied,8,0.00
paying,8,0.00
finds,8,0.00
passers,8,0.00
observation,8,0.00
patter,8,0.00
depraved,8,0.00
pavlovna,8,0.00
master,8,0.00
pawn,8,0.00
lifted,8,0.00
leg,8,0.00
parts,8,0.00
pick,8,0.00
marrying,8,0.00
lighted,8,0.00
peeked,8,0.00
palm,8,0.00
demand,8,0.00
exchanged,8,0.00
necessity,8,0.00
pouring,8,0.00
mistrustfully,8,0.00
practical,8,0.00
fond,8,0.00
due,8,0.00
dull,8,0.00
nobility,8,0.00
farewell,8,0.00
dushkin,8,0.00
design,8,0.00
preoccupied,8,0.00
enter,8,0.00
eccentric,8,0.00
drops,8,0.00
ehh,8,0.00
floors,8,0.00
provided,8,0.00
narrow,8,0.00
flowers,8,0.00
english,8,0.00
crosses,8,0.00
endured,8,0.00
mute,8,0.00
mourning,8,0.00
pronounced,8,0.00
fly,8,0.00
la,8,0.00
leaning,8,0.00
disgusting,8,0.00
delay,8,0.00
overcome,8,0.00
ours,8,0.00
leaves,8,0.00
1865,8,0.00
oneself,8,0.00
events,8,0.00
qualities,8,0.00
features,8,0.00
merciful,8,0.00
offering,8,0.00
feast,8,0.00
deliberately,8,0.00
merit,8,0.00
observe,8,0.00
proprietor,8,0.00
fools,8,0.00
loathsome,8,0.00
pushkin,8,0.00
dragged,8,0.00
fatal,8,0.00
possession,8,0.00
dreaming,8,0.00
coward,8,0.00
pot,8,0.00
missed,8,0.00
signs,8,0.00
aristocratic,8,0.00
slow,8,0.00
skirt,8,0.00
size,8,0.00
bundle,8,0.00
bureau,8,0.00
ardent,8,0.00
busy,8,0.00
unfamiliar,8,0.00
thy,8,0.00
silk,8,0.00
thousands,8,0.00
job,8,0.00
innocent,8,0.00
colonel,8,0.00
waving,8,0.00
hit,8,0.00
risen,8,0.00
accepted,8,0.00
river,8,0.00
cast,8,0.00
rob,8,0.00
repeating,8,0.00
squeezing,8,0.00
spread,8,0.00
spoon,8,0.00
imposing,8,0.00
assistant,8,0.00
guessed,8,0.00
concealing,8,0.00
sounds,8,0.00
unworthy,8,0.00
incident,8,0.00
anxiously,8,0.00
sorrow,8,0.00
judging,8,0.00
reproached,8,0.00
articles,8,0.00
writes,8,0.00
arrive,8,0.00
brightly,8,0.00
aroused,8,0.00
smell,8,0.00
thoughtful,8,0.00
absurdity,8,0.00
ruin,8,0.00
seizing,8,0.00
handkerchief,8,0.00
sees,8,0.00
treated,8,0.00
weakly,8,0.00
treatment,8,0.00
chin,8,0.00
funny,8,0.00
choose,8,0.00
rudeness,8,0.00
fun,8,0.00
youth,8,0.00
science,8,0.00
scarcely,8,0.00
sadly,8,0.00
hers,8,0.00
wrath,8,0.00
clasped,8,0.00
sank,8,0.00
hang,8,0.00
jacket,8,0.00
gaze,8,0.00
insult,8,0.00
weep,8,0.00
rodka,8,0.00
coffee,8,0.00
height,8,0.00
jail,8,0.00
agitation,8,0.00
shade,8,0.00
answering,8,0.00
humble,8,0.00
gathered,8,0.00
settle,8,0.00
certificate,8,0.00
chains,8,0.00
champagne,8,0.00
aha,8,0.00
ahh,8,0.00
changing,8,0.00
game,8,0.00
gallop,8,0.00
conscious,8,0.00
stench,8,0.00
reassure,8,0.00
health,8,0.00
stretched,8,0.00
sum,8,0.00
swine,8,0.00
awareness,8,0.00
conspicuous,8,0.00
kisses,8,0.00
realizing,8,0.00
imagining,8,0.00
stove,8,0.00
beggar,8,0.00
vasilievsky,8,0.00
howling,8,0.00
awkward,8,0.00
acquainted,8,0.00
control,8,0.00
stifling,8,0.00
style,8,0.00
stuffy,8,0.00
ii,8,0.00
consequences,8,0.00
gratitude,8,0.00
cook,8,0.00
suspected,8,0.00
venture,8,0.00
begging,8,0.00
summons,8,0.00
terror,8,0.00
actions,8,0.00
kerchief,8,0.00
bedroom,8,0.00
steal,8,0.00
bare,8,0.00
bills,8,0.00
swearing,8,0.00
bakaleev,8,0.00
strip,7,0.00
serves,7,0.00
touching,7,0.00
stronger,7,0.00
study,7,0.00
avoided,7,0.00
fires,7,0.00
announce,7,0.00
animated,7,0.00
petrovsky,7,0.00
notion,7,0.00
fantasy,7,0.00
intelligence,7,0.00
depends,7,0.00
tables,7,0.00
wake,7,0.00
mood,7,0.00
awful,7,0.00
numerous,7,0.00
shameful,7,0.00
drawing,7,0.00
stubbornly,7,0.00
lent,7,0.00
strongly,7,0.00
anticipated,7,0.00
ceaseless,7,0.00
fainted,7,0.00
youthful,7,0.00
furthermore,7,0.00
logical,7,0.00
tremble,7,0.00
politely,7,0.00
summoned,7,0.00
chose,7,0.00
flannel,7,0.00
poof,7,0.00
trip,7,0.00
madame,7,0.00
fury,7,0.00
cinq,7,0.00
nodded,7,0.00
positive,7,0.00
scandal,7,0.00
fulfilled,7,0.00
irritate,7,0.00
banging,7,0.00
humiliated,7,0.00
frowned,7,0.00
senate,7,0.00
delighted,7,0.00
separate,7,0.00
angrily,7,0.00
highly,7,0.00
whips,7,0.00
hurt,7,0.00
angel,7,0.00
hotel,7,0.00
chase,7,0.00
defiant,7,0.00
dresses,7,0.00
defend,7,0.00
interrupting,7,0.00
noticeable,7,0.00
suggestion,7,0.00
mistrustful,7,0.00
suit,7,0.00
fussing,7,0.00
introduce,7,0.00
deed,7,0.00
brass,7,0.00
bothering,7,0.00
divided,7,0.00
boulevard,7,0.00
wash,7,0.00
pages,7,0.00
bowing,7,0.00
neighborhood,7,0.00
wasted,7,0.00
solution,7,0.00
gloomily,7,0.00
sold,7,0.00
governor,7,0.00
named,7,0.00
pair,7,0.00
soft,7,0.00
including,7,0.00
sobbing,7,0.00
soaked,7,0.00
betray,7,0.00
paris,7,0.00
brief,7,0.00
arrange,7,0.00
spat,7,0.00
efforts,7,0.00
assured,7,0.00
nearby,7,0.00
goodness,7,0.00
war,7,0.00
distorted,7,0.00
blurted,7,0.00
gogol,7,0.00
1866,7,0.00
thanks,7,0.00
impatient,7,0.00
snapped,7,0.00
goal,7,0.00
spare,7,0.00
famous,7,0.00
inaudibly,7,0.00
sous,7,0.00
literary,7,0.00
thinks,7,0.00
gloves,7,0.00
bored,7,0.00
pace,7,0.00
desperately,7,0.00
en,7,0.00
workers,7,0.00
straining,7,0.00
information,7,0.00
peered,7,0.00
encounter,7,0.00
destroyed,7,0.00
pensive,7,0.00
doubts,7,0.00
sickly,7,0.00
winter,7,0.00
movements,7,0.00
oblivious,7,0.00
desk,7,0.00
perish,7,0.00
gossip,7,0.00
begged,7,0.00
habits,7,0.00
shot,7,0.00
permit,7,0.00
generations,7,0.00
sheets,7,0.00
occur,7,0.00
glances,7,0.00
parting,7,0.00
attentive,7,0.00
dog,7,0.00
benefactor,7,0.00
wandered,7,0.00
bending,7,0.00
thread,7,0.00
differently,7,0.00
argument,7,0.00
icon,7,0.00
inexplicable,7,0.00
whiskers,7,0.00
tear,7,0.00
falls,7,0.00
belonged,7,0.00
infinite,7,0.00
teach,7,0.00
bellowed,7,0.00
approached,7,0.00
developed,7,0.00
coachman,7,0.00
weighing,7,0.00
accidentally,7,0.00
risked,7,0.00
actual,7,0.00
road,7,0.00
follows,7,0.00
jealous,7,0.00
harm,7,0.00
merchant,7,0.00
rolled,7,0.00
action,7,0.00
hell,7,0.00
presentiment,7,0.00
rooming,7,0.00
wrap,7,0.00
credit,7,0.00
karl,7,0.00
clutching,7,0.00
vice,7,0.00
acquired,7,0.00
fright,7,0.00
frighten,7,0.00
purposes,7,0.00
eternally,7,0.00
considerably,7,0.00
mary,7,0.00
marveled,7,0.00
country,7,0.00
prayed,7,0.00
praskovya,7,0.00
rumors,7,0.00
john,7,0.00
crowding,7,0.00
frankly,7,0.00
hastening,7,0.00
meetings,7,0.00
revealed,7,0.00
rested,7,0.00
respects,7,0.00
unless,7,0.00
islands,7,0.00
joking,7,0.00
resolve,7,0.00
profit,7,0.00
resolution,7,0.00
unnatural,7,0.00
flying,7,0.00
agreeable,7,0.00
resembled,7,0.00
joyful,7,0.00
compassion,7,0.00
reproach,7,0.00
crimes,7,0.00
everywhere,7,0.00
fourteen,7,0.00
withered,7,0.00
heaving,7,0.00
judgment,7,0.00
rings,7,0.00
understandable,7,0.00
cup,7,0.00
concealed,7,0.00
hay,7,0.00
knelt,7,0.00
saint,7,0.00
rush,7,0.00
receive,7,0.00
convicts,7,0.00
essence,7,0.00
alexander,7,0.00
rational,7,0.00
value,7,0.00
zakharovich,7,0.00
rarely,7,0.00
questioningly,7,0.00
knocked,7,0.00
vakhrushin,7,0.00
vast,7,0.00
runt,7,0.00
consumption,7,0.00
laws,7,0.00
costs,7,0.00
receiving,7,0.00
accusing,7,0.00
established,7,0.00
accused,7,0.00
cost,6,0.00
suggested,6,0.00
repentance,6,0.00
notorious,6,0.00
rave,6,0.00
suggesting,6,0.00
reported,6,0.00
hateful,6,0.00
visitors,6,0.00
disease,6,0.00
songs,6,0.00
prudence,6,0.00
hooked,6,0.00
reports,6,0.00
limits,6,0.00
forward,6,0.00
basis,6,0.00
express,6,0.00
dislike,6,0.00
disorder,6,0.00
sugar,6,0.00
railing,6,0.00
owed,6,0.00
aspect,6,0.00
assumed,6,0.00
nastasyushka,6,0.00
suggest,6,0.00
zarnitsyn,6,0.00
fence,6,0.00
exchange,6,0.00
fourier,6,0.00
drivel,6,0.00
bashful,6,0.00
provinces,6,0.00
borrowed,6,0.00
cool,6,0.00
bah,6,0.00
bringing,6,0.00
embarrassment,6,0.00
smoke,6,0.00
faltering,6,0.00
smirk,6,0.00
foreign,6,0.00
forcing,6,0.00
smarter,6,0.00
mainly,6,0.00
gives,6,0.00
respectable,6,0.00
advance,6,0.00
slight,6,0.00
sleeping,6,0.00
built,6,0.00
slapped,6,0.00
threat,6,0.00
mustn,6,0.00
ball,6,0.00
noses,6,0.00
emerged,6,0.00
breathed,6,0.00
pained,6,0.00
folded,6,0.00
unrelated,6,0.00
solitary,6,0.00
painted,6,0.00
grin,6,0.00
lackey,6,0.00
art,6,0.00
unnecessary,6,0.00
indecent,6,0.00
somebody,6,0.00
panorama,6,0.00
mark,6,0.00
resembling,6,0.00
resist,6,0.00
snatched,6,0.00
hunger,6,0.00
1,6,0.00
lad,6,0.00
farm,6,0.00
brighter,6,0.00
tempting,6,0.00
reflected,6,0.00
consent,6,0.00
beef,6,0.00
wandering,6,0.00
stolen,6,0.00
councillors,6,0.00
stockings,6,0.00
wanting,6,0.00
katya,6,0.00
contemptuously,6,0.00
attending,6,0.00
push,6,0.00
exile,6,0.00
betrayed,6,0.00
weight,6,0.00
attempts,6,0.00
edge,6,0.00
neighbors,6,0.00
offensive,6,0.00
utopian,6,0.00
divert,6,0.00
acted,6,0.00
straw,6,0.00
objects,6,0.00
vaguely,6,0.00
knowledge,6,0.00
tale,6,0.00
accustomed,6,0.00
obliged,6,0.00
martha,6,0.00
oblivion,6,0.00
begins,6,0.00
ears,6,0.00
grant,6,0.00
bile,6,0.00
group,6,0.00
eavesdropping,6,0.00
audibly,6,0.00
straightening,6,0.00
grow,6,0.00
expose,6,0.00
achilles,6,0.00
below,6,0.00
iii,6,0.00
pushing,6,0.00
grave,6,0.00
whoever,6,0.00
hypochondriac,6,0.00
expenses,6,0.00
distant,6,0.00
goods,6,0.00
openly,6,0.00
dissolved,6,0.00
squeezed,6,0.00
spring,6,0.00
relation,6,0.00
fortune,6,0.00
regularly,6,0.00
sympathy,6,0.00
orders,6,0.00
hoped,6,0.00
activity,6,0.00
condemned,6,0.00
voyage,6,0.00
spine,6,0.00
uses,6,0.00
swollen,6,0.00
imposingly,6,0.00
heartfelt,6,0.00
punching,6,0.00
regarded,6,0.00
government,6,0.00
pulls,6,0.00
continue,6,0.00
governess,6,0.00
bird,6,0.00
household,6,0.00
tensely,6,0.00
reader,6,0.00
term,6,0.00
egyptian,6,0.00
ate,6,0.00
regret,6,0.00
matthew,6,0.00
blamed,6,0.00
ear,6,0.00
cracked,6,0.00
cotton,6,0.00
astonishment,6,0.00
nihilists,6,0.00
bless,6,0.00
unceremoniously,6,0.00
sharper,6,0.00
caused,6,0.00
curiously,6,0.00
issues,6,0.00
eyed,6,0.00
flame,6,0.00
pretext,6,0.00
wringing,6,0.00
screamed,6,0.00
language,6,0.00
shaved,6,0.00
declare,6,0.00
physical,6,0.00
scriveners,6,0.00
press,6,0.00
physiognomy,6,0.00
darkening,6,0.00
trees,6,0.00
denouement,6,0.00
furious,6,0.00
rolling,6,0.00
anymore,6,0.00
periodical,6,0.00
showing,6,0.00
deceived,6,0.00
withdrew,6,0.00
deserted,6,0.00
coldly,6,0.00
equal,6,0.00
shortly,6,0.00
careful,6,0.00
risk,6,0.00
failure,6,0.00
permitted,6,0.00
perplexed,6,0.00
powerlessness,6,0.00
insolence,6,0.00
shining,6,0.00
persons,6,0.00
invite,6,0.00
mothers,6,0.00
casually,6,0.00
sending,6,0.00
runs,6,0.00
sensible,6,0.00
halfway,6,0.00
praise,6,0.00
merry,6,0.00
rudely,6,0.00
plans,6,0.00
village,6,0.00
fleetingly,6,0.00
enthusiasm,6,0.00
childhood,6,0.00
seeking,6,0.00
frightening,6,0.00
playful,6,0.00
mid,6,0.00
ruined,6,0.00
harder,6,0.00
aim,6,0.00
chebarov,6,0.00
dancing,6,0.00
helped,6,0.00
introduced,6,0.00
frequently,6,0.00
vi,6,0.00
monstrous,6,0.00
demanded,6,0.00
tree,6,0.00
tsar,6,0.00
intended,6,0.00
clutched,6,0.00
roused,6,0.00
prejudices,6,0.00
fiery,6,0.00
flight,6,0.00
lungs,6,0.00
entry,6,0.00
whipping,6,0.00
iv,6,0.00
worst,6,0.00
latest,6,0.00
delicate,6,0.00
rubbed,6,0.00
tobacco,6,0.00
abrupt,6,0.00
throat,6,0.00
bushes,6,0.00
million,6,0.00
pavement,6,0.00
sinking,6,0.00
infinitely,6,0.00
flowing,6,0.00
significance,6,0.00
citizen,6,0.00
patronymic,6,0.00
sits,6,0.00
saith,6,0.00
absence,6,0.00
lead,6,0.00
virtue,6,0.00
uneasily,6,0.00
crude,6,0.00
wonder,6,0.00
miles,6,0.00
uneasy,6,0.00
sin,6,0.00
hoarse,6,0.00
profitable,6,0.00
troubles,6,0.00
winking,6,0.00
deaf,6,0.00
payment,6,0.00
join,6,0.00
filth,6,0.00
title,6,0.00
thunder,6,0.00
bustling,6,0.00
titular,6,0.00
silly,6,0.00
isolated,6,0.00
land,6,0.00
singers,6,0.00
genuine,6,0.00
wax,6,0.00
campaign,6,0.00
reveal,6,0.00
miracle,6,0.00
percent,6,0.00
lidochka,6,0.00
flattery,6,0.00
undoubtedly,6,0.00
calls,6,0.00
frozen,6,0.00
school,6,0.00
bumped,6,0.00
affected,6,0.00
advantageous,6,0.00
inquiries,6,0.00
debt,6,0.00
laviza,6,0.00
shows,6,0.00
arguing,6,0.00
rustling,6,0.00
gift,6,0.00
calculations,6,0.00
argue,6,0.00
violently,6,0.00
mouse,6,0.00
schismatic,6,0.00
boot,5,0.00
eaten,5,0.00
humbly,5,0.00
treating,5,0.00
grounds,5,0.00
taste,5,0.00
mit,5,0.00
newspaper,5,0.00
helping,5,0.00
expectation,5,0.00
authorities,5,0.00
amiably,5,0.00
noose,5,0.00
esteemed,5,0.00
valued,5,0.00
marked,5,0.00
errand,5,0.00
hesitation,5,0.00
eager,5,0.00
witch,5,0.00
trifle,5,0.00
eyelashes,5,0.00
alms,5,0.00
misfortune,5,0.00
grinder,5,0.00
system,5,0.00
miserable,5,0.00
swung,5,0.00
experiences,5,0.00
abuse,5,0.00
duties,5,0.00
dusty,5,0.00
mirage,5,0.00
mademoiselle,5,0.00
swept,5,0.00
hence,5,0.00
tailor,5,0.00
hero,5,0.00
grieved,5,0.00
tail,5,0.00
ambiguous,5,0.00
accuse,5,0.00
herald,5,0.00
veal,5,0.00
average,5,0.00
accusation,5,0.00
babbling,5,0.00
error,5,0.00
vauxhall,5,0.00
headed,5,0.00
earn,5,0.00
vileness,5,0.00
faced,5,0.00
trusting,5,0.00
nastenka,5,0.00
lovely,5,0.00
undressing,5,0.00
unresolved,5,0.00
thirst,5,0.00
encourage,5,0.00
artist,5,0.00
faith,5,0.00
apparent,5,0.00
heavens,5,0.00
tonight,5,0.00
narrowed,5,0.00
endless,5,0.00
evildoing,5,0.00
visions,5,0.00
elder,5,0.00
history,5,0.00
urgent,5,0.00
ascribed,5,0.00
visiting,5,0.00
hoodwinking,5,0.00
guerre,5,0.00
verse,5,0.00
acute,5,0.00
anybody,5,0.00
visible,5,0.00
arguments,5,0.00
hasten,5,0.00
haste,5,0.00
